school,sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G3,performance,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other
0,0,18,1,0,0,4,4,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,6,6,Low,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0,17,1,0,1,1,1,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,4,6,Low,False,False,False,False,False,True,False,False,False,False,False,False,False
0,0,15,1,1,1,1,1,1,2,3,1,0,1,0,1,1,1,0,4,3,2,2,3,3,10,10,Medium,False,False,False,False,False,True,False,False,False,True,False,True,False
0,0,15,1,0,1,4,2,1,3,0,0,1,1,1,1,1,1,1,3,2,2,1,1,5,2,15,High,True,False,False,False,False,False,True,False,True,False,False,True,False
0,0,16,1,0,1,3,3,1,2,0,0,1,1,0,1,1,0,0,4,3,2,1,2,5,4,10,Medium,False,True,False,False,False,True,False,False,True,False,False,False,False
0,1,16,1,1,1,4,3,1,2,0,0,1,1,1,1,1,1,0,5,4,2,1,2,5,10,15,High,False,False,True,False,False,True,False,False,False,False,True,True,False
0,1,16,1,1,1,2,2,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,11,Medium,False,True,False,False,False,True,False,False,True,False,False,True,False
0,0,17,1,0,0,4,4,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,6,6,Low,False,True,False,False,False,False,False,True,True,False,False,True,False
0,1,15,1,1,0,3,2,1,2,0,0,1,1,0,1,1,1,0,4,2,2,1,1,1,0,19,High,False,False,True,False,False,True,False,False,True,False,False,True,False
0,1,15,1,0,1,3,4,1,2,0,0,1,1,1,1,1,1,0,5,5,1,1,1,5,0,15,High,False,True,False,False,False,True,False,False,True,False,False,True,False
0,0,15,1,0,1,4,4,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0,9,Low,False,False,False,True,True,False,False,False,False,False,True,True,False
0,0,15,1,0,1,2,1,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,4,12,Medium,False,False,True,False,False,True,False,False,False,False,True,False,False
0,1,15,1,1,1,4,4,1,1,0,0,1,1,1,1,1,1,0,4,3,3,1,3,5,2,14,Medium,True,False,False,False,False,False,True,False,False,False,False,False,False
0,1,15,1,0,1,4,3,2,2,0,0,1,1,0,1,1,1,0,5,4,3,1,2,3,2,11,Medium,False,False,False,True,False,True,False,False,False,False,False,True,False
0,1,15,1,0,0,2,2,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,16,High,False,True,False,False,False,True,False,False,True,False,False,False,True
0,0,16,1,0,1,4,4,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,4,14,Medium,True,False,False,False,False,True,False,False,True,False,False,True,False
0,0,16,1,0,1,4,4,1,3,0,0,1,1,1,1,1,1,0,3,2,3,1,2,2,6,14,Medium,False,False,True,False,False,False,True,False,False,False,True,True,False
0,0,16,1,0,1,3,3,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,4,10,Medium,False,True,False,False,False,True,False,False,False,False,True,True,False
0,1,17,1,0,1,3,2,1,1,3,0,1,0,1,1,1,1,0,5,5,5,2,4,5,16,5,Low,False,False,True,False,False,False,True,False,False,False,False,True,False
0,1,16,1,1,1,4,3,1,1,0,0,0,1,1,1,1,1,0,3,1,3,1,3,5,4,10,Medium,True,False,False,False,False,True,False,False,True,False,False,False,False
0,1,15,1,0,1,4,3,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,15,High,False,False,False,True,False,True,False,False,False,False,True,True,False
0,1,15,1,0,1,4,4,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,15,High,True,False,False,False,True,False,False,False,False,True,False,False,False
0,1,16,1,1,1,4,2,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,2,16,High,False,False,False,True,False,True,False,False,False,False,False,True,False
0,1,16,1,1,1,2,2,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,0,12,Medium,False,True,False,False,False,True,False,False,False,False,True,True,False
0,0,15,0,0,1,2,4,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,8,Low,False,False,True,False,True,False,False,False,False,False,False,True,False
0,0,16,1,0,1,2,2,1,1,2,0,1,1,0,0,1,1,0,1,2,2,1,3,5,14,8,Low,False,False,True,False,False,False,True,False,True,False,False,True,False
0,1,15,1,0,1,2,2,1,1,0,0,1,1,0,1,1,1,0,4,2,2,1,2,5,2,11,Medium,False,True,False,False,False,True,False,False,True,False,False,True,False
0,1,15,1,0,1,4,2,1,1,0,0,0,1,0,1,1,1,0,2,2,4,2,4,1,4,15,High,True,False,False,False,False,False,True,False,False,True,False,True,False
